"","YEAR","Cod_Sab_Hal","Skates","Flatfish","Sculpin","Eelpout","Wolffish","Octopus","Total_Pred"
"1",1982,388.422277281664,0.512551134144,121.977964063936,33.660693706752,8.80326020448,0.348011779456,6.518573710848,560.24333188128
"2",1983,474.694844668288,22.891302772544,141.135569379392,74.259260028544,3.016545689536,0.194571594112,1.933039015936,718.125133148352
"3",1984,415.626039512256,35.27491628608,164.742007135936,31.958089361152,2.676779399296,0,1.07506910976,651.35290080448
"4",1985,356.637137399808,20.974233389632,150.218435357952,23.228983681152,0.833041363904,0.166514979392,0.511563321792,552.569909493632
"5",1986,417.602254159744,74.310886943552,180.06742187104,26.478063142272,2.15548886976,0.306400184128,0.048677197568,700.969192368064
"6",1987,433.458864987136,55.883412152384,218.48186648448,33.040141755456,3.375793834496,0.12011523808,5.377238855808,749.73743330784
"7",1988,445.845455657344,19.311031781184,262.098885522432,44.154430116288,3.639690648256,0,1.081352693888,776.130846419392
"8",1989,313.121574922176,0,264.784486634816,41.0034733488,4.116762855424,0,0.664111732096,623.690409493312
"9",1990,248.021544254848,0,256.458476992512,31.23730189536,5.150494762176,1.390222408896,3.45432491648,545.712365230272
"10",1991,267.368946738048,0,346.220971699136,81.015759320064,6.103692523008,0,3.091948699072,703.801318979328
"11",1992,314.011223421696,16.54304437472,338.18798561536,52.015399654656,4.214569997888,0.334566555776,3.519204980544,728.82599460064
"12",1993,413.771929447168,0,378.745406808768,79.800859884032,2.755557434368,0,0.631088616384,875.70484219072
"13",1994,579.632839865984,0,442.90775660096,76.945066935168,1.374993635136,0.419655614208,0,1101.28031265146
"14",1995,521.430620534976,0,363.385473519808,68.98003410944,0.63377766112,1.139523865728,1.704785764544,957.274215455616
"15",1996,496.020327666752,104.841985324928,367.726277704512,64.071525934272,1.741883606208,0.829433104896,1.421036666432,1036.652470008
"16",1997,275.60149835616,103.128967790784,379.540335079424,73.112204093632,3.183239023936,0.86893187936,0.029757847104,835.4649340704
"17",1998,308.955037299904,97.907940482752,295.801204544128,64.12370163392,6.396743520768,1.003740826176,0.5456977264,774.734066034048
"18",1999,278.57392176064,137.781452538176,213.48916102592,61.148493147392,4.2369604112,0.88333747616,0.43059014816,696.543916507648
"19",2000,227.372493203648,84.106390936,233.732193761216,55.373275670656,5.556910946944,1.128260060992,0.46317423616,607.732698815616
"20",2001,358.166709948416,103.748682845504,267.584070316928,45.350904108032,9.239008928256,0.308513004992,0.060311431936,784.458200584064
"21",2002,211.261067948288,87.822938873088,258.14980381376,63.199603178624,6.157322501952,1.206256077952,1.055751890432,628.852744284096
"22",2003,261.278068336384,147.824417244416,294.3468154912,74.911861002816,6.628851984256,0.880483796032,0.021004732096,785.8915025872
"23",2004,207.78001721984,122.291525887616,328.750632198592,77.661230890368,5.67422738336,0.436914891136,2.8800903888,745.474638859712
"24",2005,200.01464596576,144.807103256384,358.258425581376,67.072444981184,4.434070134272,0.960414278848,3.107026557056,778.65413075488
"25",2006,199.632184230528,151.8219566368,323.03082825088,56.271924238272,3.326128824576,1.019559543424,0.51297644224,735.61555816672
"26",2007,177.851484373184,122.17681617824,318.040743238976,80.857640745664,1.291935079872,0.321258528256,0.11771430528,700.657592449472
"27",2008,179.305091408,115.628141629888,261.337858422912,45.835618141312,1.057014095104,1.525881971904,0.08492442304,604.77453009216
"28",2009,259.392965658752,128.80709500256,225.887152697024,47.927845861696,0.84945002464,1.10346871488,0.05817117184,664.026149131392
"29",2010,499.03058977216,126.180639154752,251.358017669888,62.682058104256,1.194347451264,1.200356643072,0.369990604288,942.01599939968
"30",2011,479.653703834176,144.358334617024,259.547777805696,53.317473530752,5.796510320768,2.845215124928,1.300866549888,946.819881783232
"31",2012,421.93588298528,104.071642606144,223.867131315648,42.312489350592,1.251818922688,0.731269252416,0.502974842176,794.673209274944
"32",2013,418.655948107776,112.039583990464,174.937616289792,47.768917829952,4.391539324672,0,1.044803636864,758.83840917952
"33",2014,439.90768817024,123.024729605888,258.796450474688,75.270093896192,6.523691127616,0.184569994048,1.487028019392,905.194251288064
"34",2015,459.17448790944,152.120344565184,181.18557057504,44.842263064448,11.746488266112,0.82153060608,2.197800165504,852.088485151808
"35",2016,742.45650169472,427.25312596032,538.736640194688,115.569984177664,14.0811278816,0.972089672064,0.69777966976,1839.76724925082
"36",2017,259.895542632064,192.911150146368,384.056379919296,46.1589620512,2.119680672,0.992669096064,0.909734017344,887.044118534336
"37",2018,231.410395706304,242.583143350912,257.737282399872,44.587846505344,2.611611223296,0.122639647424,2.022038164928,781.07495699808
"38",2019,223.292773311424,183.357838535168,270.23040588832,54.178941939008,0.616189113408,0.505142541504,0.089671410176,732.270962739008
